,Year,Month,Anomaly-Gl,Uncertainty-Gl,Anomaly-NH,Uncertainty-NH,Anomaly-SH,Uncertainty-SH
590,1802,3,1.308,1.886,,,,
591,1802,4,0.394,1.481,,,,
592,1802,5,-1.346,1.339,,,,
593,1802,6,-0.106,1.888,,,,
594,1802,7,-0.276,1.245,,,,
595,1802,8,-0.553,1.366,,,,
596,1802,9,-0.064,1.28,,,,
597,1802,10,0.051,1.439,,,,
598,1802,11,-0.904,2.393,,,,
599,1802,12,-0.515,2.015,,,,
600,1803,1,-1.353,2.012,,,,
601,1803,2,-1.01,2.837,,,,
602,1803,3,-0.23,2.594,,,,
603,1803,4,0.725,1.386,,,,
604,1803,5,0.096,1.38,,,,
605,1803,6,0.079,0.929,,,,
606,1803,7,0.06,1.322,,,,
607,1803,8,0.676,1.486,,,,
608,1803,9,0.144,1.074,,,,
609,1803,10,0.685,2.182,,,,
610,1803,11,-0.281,1.661,,,,
611,1803,12,-0.757,1.783,,,,
612,1804,1,-0.277,2.902,,,,
613,1804,2,-1.146,2.208,,,,
614,1804,3,-1.057,1.708,,,,
615,1804,4,1.128,1.569,,,,
616,1804,5,0.419,1.319,,,,
617,1804,6,-0.112,1.11,,,,
618,1804,7,1.125,1.692,,,,
619,1804,8,0.105,1.107,,,,
620,1804,9,0.198,1.138,,,,
621,1804,10,-0.233,1.251,,,,
622,1804,11,0.851,2.637,,,,
623,1804,12,-0.954,2.251,,,,
624,1805,1,0.466,2.678,,,,
625,1805,2,-0.376,2.01,,,,
626,1805,3,0.596,1.421,,,,
627,1805,4,0.125,1.437,,,,
628,1805,5,-0.252,1.577,,,,
629,1805,6,0.389,1.356,,,,
630,1805,7,-0.014,1.402,,,,
631,1805,8,1.022,1.227,,,,
632,1805,9,-0.287,2.45,,,,
633,1805,10,-1.824,1.717,,,,
634,1805,11,-1.661,1.512,,,,
635,1805,12,0.809,2.113,,,,
636,1806,1,0.481,2.287,,,,
637,1806,2,-0.191,2.361,,,,
638,1806,3,-0.529,1.986,,,,
639,1806,4,-0.375,1.856,,,,
640,1806,5,0.099,1.128,,,,
641,1806,6,-1.235,1.318,,,,
642,1806,7,-0.715,1.526,,,,
643,1806,8,0.486,1.067,,,,
644,1806,9,0.302,1.641,,,,
645,1806,10,-0.804,1.247,,,,
646,1806,11,-0.877,1.754,,,,
647,1806,12,0.459,2.342,,,,
648,1807,1,-1.617,2.028,,,,
649,1807,2,0.265,2.965,,,,
650,1807,3,-0.637,2.34,,,,
651,1807,4,-1.401,1.797,,,,
652,1807,5,-2.313,1.893,,,,
653,1807,6,-0.356,1.009,,,,
654,1807,7,-0.338,2.16,,,,
655,1807,8,-0.507,1.221,,,,
656,1807,9,0.414,1.137,,,,
657,1807,10,-0.273,0.983,,,,
658,1807,11,0.135,1.776,,,,
659,1807,12,0.904,1.644,,,,
660,1808,1,-1.422,3.66,,,,
661,1808,2,-0.99,1.873,,,,
662,1808,3,-1.066,2.653,,,,
663,1808,4,-1.039,1.782,,,,
664,1808,5,-2.095,2.753,,,,
665,1808,6,-0.33,1.869,,,,
666,1808,7,0.015,1.568,,,,
667,1808,8,-0.976,1.023,,,,
668,1808,9,-0.3,1.633,,,,
669,1808,10,-0.854,2.383,,,,
670,1808,11,-1.509,1.946,,,,
671,1808,12,-2.066,1.903,,,,
672,1809,1,-2.274,1.721,,,,
673,1809,2,-2.207,2.89,,,,
674,1809,3,-1.916,2.201,,,,
675,1809,4,-0.485,1.982,,,,
676,1809,5,-1.891,2.088,,,,
677,1809,6,-0.589,1.155,,,,
678,1809,7,-1.716,1.985,,,,
679,1809,8,-0.84,1.225,,,,
680,1809,9,-1.046,1.164,,,,
681,1809,10,-0.666,3.296,,,,
682,1809,11,-2.87,2.364,,,,
683,1809,12,-1.125,2.5,,,,
684,1810,1,-1.922,2.556,,,,
685,1810,2,-0.695,2.848,,,,
686,1810,3,-0.148,2.569,,,,
687,1810,4,-1.46,2.277,,,,
688,1810,5,-2.066,2.223,,,,
689,1810,6,-1.814,2.183,,,,
690,1810,7,-1.806,1.751,,,,
691,1810,8,-1.661,1.326,,,,
692,1810,9,-2.261,1.947,,,,
